a;b
[Rr]ivière.(des.)?prairies;rivière_des_prairies
[Ll]ongue.[Pp]ointe;longue_pointe
[Ll]ouis.[Rr]iel;louis_riel
[Mm]arie.[Vv]ictorin;marie_victorin
[Rr]ené.[Gg]oupil;rené_goupil
([Ss]ainte|[Ss]te\.?).[Ll]ucie;sainte_lucie
[Ss]ault.([Aa]ux?.)?[Rr]écollet;sault_au_récollet
([Ss]aint|[Ss]t\.?).[Ss]ulpice;saint_sulpice
[Nn]icolas.[Vv]iel;nicolas_viel
[Fr]ran[çc]ois.[Pp]erre?ault;françois_perrault
[Cc]ôte.([Ss]aint|[Ss]t\.?).[Aa]ntoine;côte_saint_antoine
([Ss]aint|[Ss]t\.?).[Hh]enri;saint_henri
[Vv]ille.[ÉéEe]mard(.[Cc]ôte.([Ss]aint|[Ss]t\.?).[Pp]aul)?;ville_émard_cote_saint_paul
[Pp]ointe.([Ss]aint|[Ss]t\.?).[Cc]harles?;pointe_saint_charles
[Pp]etite.[Bb]ourgogne;petite_bourgogne
[Rr]ené.[Ll]évesque;rené_lévesque
[Éé]douard.[Mm]ontpetit;édouard_montpetit
[Pp]arc.[Kk]ent;parc_kent
([Ss]ainte|[Ss]te\.?).[Mm]arie;sainte_marie
[Pp]etite.[Cc]ôte;petite_côte
[Vv]ieux.[Rr]osemont;vieux_rosemont
[Nn]ouveau.[Rr]osemont;nouveau_rosemont
[Éé]tienne.[Dd]esmarteaux;étienne_desmarteaux
[Ll]ouis.[Hh]ébert;louis_hébert
([Ss]aint|[Ss]t\.?).[Ll]ouis;saint_louis
[Pp]arc.[Ll]afontaine;parc_lafontaine
[Pp]arc.[Ll]aurier;parc_laurier
[Mm]ile.[Ee]nd;mile_end
[Gg]abriel.[Ss]agard;gabriel_sagard
[Pp]arc.[Ee]x(\b|tension);parc_extension
([Ss]aint|[Ss]t\.?).[Éé]douard;saint_édouard
[Pp]arc.[Jj]arry;parc_jarry
[Pp]ère.[Mm]arquette;père_marquette
[Pp]ointe.([Aa]ux.)?[Tt]rembles;pointe_aux_trembles
[Mm]arc.[Aa]urèle.[Ff]ortin;marc_aurèle_fortin
[Vv]ieux.[Mm]ontréal;vieux_montréal
[Uu]pper.[Ll]achine;upper_lachine
[Ll]a.[Vv]isitation;la_visitation
[Nn]ouveau.[Bb]ordeaux?;nouveau_bordeaux
[Cc]hameran.[Mm]ontpellier;chameran_montpellier
[Bb]ois.[Ff]rancs?;bois_francs
[Gg]rande.[Pp]rairie;grande_prairie
[Pp]ort.[Mm]aurice;port_maurice
[Dd]esmarchais.[Cc]rawford;desmarchais_crawford
[Vv]erdun(.[Cc]entre)?;verdun
[ÎîIi]le.([Dd]es.)?[Ss][oeœ]urs\b;île_des_soeurs
[Ss]ault.([Ss]aint|[Ss]t\.?).[Ll]ouis;sault_saint_louis
[Cc]ecil.[Pp]\..[Nn]ewman;cecil_p_newman
[Ll]achine.[Oo]uest;lachine_ouest
([Dd]u.)?[Cc]oll[eè]ge.[Hh]odge;du_collège_hodge
[Mm]ilton.[Pp]arc;milton_parc
[Pp]ierrefonds.[Oo]uest;pierrefonds_ouest
[Pp]ierrefonds.[Rr]oxboro;pierrefonds_roxboro
[Mm]ontréal.[Ee]st\b;montréal_est
[Cc]ôte.([Ss]aint|[Ss]t\.?).[Ll]uc;côte_saint_luc
[Mm]ontréal.[Oo]uest\b;montréal_ouest
[Pp]ointe.[Cc]laire;pointe_claire
[Dd]ollard.([Dd]es.)?[Oo]rmeaux;dollard_des_ormeaux
[Bb]aie.([Dd'].)?[Uu]rfé;baie_d_urfé
([Ss]ainte|[Ss]te\.?).[Aa]nne.([Dd]e.)?[Bb]ellevue;sainte_anne_de_bellevue
\b[Mm]ont.[Rr]oyal\b;mont_royal
[Pp]ierrefonds.[Ee]st\b;pierrefonds_est
\b[ÎïIi]le.[Bb]izard;île_bizard
[Vv]ieux.[Ll]achine;vieux_lachine
[Cc]entre.[Nn]ord;centre_nord
([Mm]ercier.)?[Hh]ochelaga.[Mm]aisonneuve;mercier_hochelaga_maisonneuve
[Mm]ercier-[O]uest;mercier_ouest
[Mm]ercier-[Ee]st;mercier_est
\b[Aa]njou\b;anjou
\b[Oo]utremont\b;outremont
([Rr]osemont.)?([Ll]a.)?([Pp]etite.[Pp]atrie);rosemont_petite_patrie
[Rr]osemont\b([Ll]a.)?([Pp]etite.[Pp]atrie)?;rosemont_petite_patrie
([Vv]illeray.)?([Ss]aint|[Ss]t\.?).[Mm]ichel\b;saint_michel
[Aa]huntsic(.[Cc]artierville)?;ahuntsic_cartierville
\b[Cc]entre.[Ss]ud;centre_sud
\b[Ss]ud.[Oo]uest\b;sud_ouest
(\b[Ll]e.)?[Pp]lateau.[Mm]ont.[Rr]oyal;plateau_mont_royal
\b[Ll]e\sPlateau\b;le_plateau
\b[Vv]ille.[Mm]arie\b;ville_marie
([Ss]aint|[Ss]t\.?).[Ll]aurent;saint_laurent
[Cc]ôte.([Dd]es.)?[Nn]eiges;côte_des_neiges
[Nn]otre.[Dd]ame.([Dd]e[\s])[Gg]râce;notre_dame_de_grâce
[Mm]ontréal.[Nn]ord;montréal_nord
([Ss]aint|[Ss]t\.?).[Ll]éonard;saint_léonard
[Cc]entre.[Vv]ille;centre_ville
[Pp]eter.[Mm]c[Gg]ill;peter_mcgill
[Ff]aubourg.([Ss]aint|[Ss]t\.?).[Ll]aurent;faubourg_saint_laurent
[Ll]a[\s]?[Ss]alle;lasalle
([Ss]aint|[Ss]t\.?).[Jj]oseph;saint_joseph
([Ss]aint|[Ss]t\.?).[Aa]dré;saint_andré
([Ss]aint|[Ss]t\.?).[Gg]eorges;saint_georges
([Ss]aint|[Ss]t\.?).[Jj]acques;saint_jacques
([Ss]aint|[Ss]t\.?).[Jj]ean;saint_jean
([Ss]aint|[Ss]t\.?).[Pp]aul;saint_paul
([Ss]aint|[Ss]t\.?).[Ee]usèbe;saint_eusèbe
\b[Dd]e\s?[Ll]orimier;delorimier
([Ss]ainte|[Ss]te\.?).[Cc]unégonde;sainte_cunégonde
([Ss]ainte|[Ss]te\.?).[Aa]anne;sainte_anne
([Ss]ainte|[Ss]te\.?).[Mm]arie;sainte_marie
